quantity,T,kappal,kappal,kappal,kappal,kappal,kappal,kappal,kappal,kappal,Step
unit,K,W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),-
direction,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,-
0,100.0,3.1085,-2.2058e-24,0.0,2.2058e-24,3.1085,0.0,0.0,0.0,0.0,10
1,200.0,1.4953,0.0,0.0,0.0,1.4953,0.0,0.0,0.0,0.0,10
2,300.0,0.99055,0.0,0.0,0.0,0.99055,0.0,0.0,0.0,0.0,10
3,400.0,0.74143,0.0,0.0,0.0,0.74143,0.0,0.0,0.0,0.0,10
4,500.0,0.59266,-1.1029e-24,0.0,0.0,0.59266,0.0,0.0,0.0,0.0,10
5,600.0,0.49369,0.0,0.0,0.0,0.49369,0.0,0.0,0.0,0.0,10
6,700.0,0.42307,0.0,0.0,0.0,0.42307,0.0,0.0,0.0,0.0,10
7,800.0,0.37015,0.0,0.0,0.0,0.37015,0.0,0.0,0.0,0.0,10
8,900.0,0.329,-5.5145e-25,0.0,-5.5145e-25,0.329,0.0,0.0,0.0,0.0,10
9,1000.0,0.29609,-5.5145e-25,0.0,0.0,0.29609,0.0,0.0,0.0,0.0,10
